id,month,stream,water_temp,pH,specific_conductance,run,type,discharge,ave_chlo_a,ash_free_dry_mass,drywt,leaf_biomass,wood_biomass,stream_cover,stream_wetted_area
53,September,PC,14.1,7.81,374.6,5,rural,0.000646944,145.2912987,133.5714439,188.3941103,4.64,0,0.531579937,72.38888889
54,October,PC,17.4,7.55,352.4,6,rural,0.001693611,260.1589559,139.9762874,244.9923916,165.6177778,1.066666667,0.262584358,126.9444444
55,November,PC,8,8.05,362.8,7,rural,0.024074074,87.67636958,218.702948,310.1904046,219.616,5.248,0.105393005,223.7222222
56,June,PT,15.5,7.83,433.8,1,urban,0.159292972,0,31.38475647,33.38926537,3.392,1.712,0.516627484,275.7142857
57,June,PT,20.6,7.73,716,2,urban,0.026306759,54.71841362,36.43072298,49.94181134,1.904,1.6,0.676911531,166.5
58,July,PT,23.6,8.01,687,3,urban,0.021834896,77.93479063,57.43117719,92.17462168,0.912,2.288,0.684060571,221
59,August,PT,23,7.91,589,4,urban,0.036569954,92.02771581,80.3928456,102.3134889,2.96,0.48,0.695683666,240.9285714
60,September,PT,21.8,7.76,782,5,urban,0.016296389,119.5572159,44.32798788,66.56821152,146.1973333,87.456,0.660016767,200.2777778
61,October,PT,17.6,7.73,698,6,urban,0.014541204,242.5259605,138.5370587,182.2599685,129.4613333,4.309333333,0.408427482,226.7777778
62,November,PT,9.1,7.48,526,7,urban,0.093681024,81.21760815,107.1856604,152.7350329,158.5813333,10.61333333,0.368009668,293.8333333
63,June,PT,14.2,8.04,176.7,1,rural,0.025609375,18.74065391,55.88654822,65.28672207,1.36,2,0.647914014,156.4285714
64,June,PT,24.9,7.56,206.5,2,rural,0.004440278,1.393897022,45.20067709,47.36226043,1.536,5.312,0.651618682,95.5
65,July,PT,26,7.85,246.7,3,rural,0.003545833,32.38060916,88.90428393,181.4604128,1.008,0.304,0.643393012,107.2857143
66,August,PT,22.8,7.48,226,4,rural,0.00485538,8.776942388,153.6719613,173.1514895,3.6,8.848,0.701544629,135.0714286
67,September,PT,24.3,7.38,275.3,5,rural,0.0019775,34.17730949,147.9849307,171.1583975,92.992,1.258666667,0.674578793,81.61111111
68,October,PT,17.7,6.87,248.1,6,rural,0.005416736,63.54946757,259.7735969,330.6471362,420.4586667,18.47466667,0.376232689,150.3333333
69,November,PT,8.7,6.77,280.2,7,rural,0.034759491,38.39380074,206.7269778,243.1845948,25.312,0,0.32350574,201.1666667
